playerId,displayName,overrideValue,looksAbbreviated,knownNames
1c2a64cd,A Ashish Reddy,,yes,A Ashish Reddy
872b03f7,A Badoni,,yes,A Badoni
99b202b3,A Chandila,,yes,A Chandila
e249fdaa,A Chopra,,yes,A Chopra
18e6906e,A Choudhary,,yes,A Choudhary
5b16a806,A Dananjaya,,yes,A Dananjaya
ddc0828d,A Flintoff,,yes,A Flintoff
fcc21ace,A Kamboj,,yes,A Kamboj
0c2730df,A Kumble,,yes,A Kumble
0890552f,A Manohar,,yes,A Manohar
66cf56a5,A Mithun,,yes,A Mithun
6165bca6,A Mukund,,yes,A Mukund
96fd40ae,A Nehra,,yes,A Nehra
2503e881,A Nel,,yes,A Nel
d7017798,A Raghuvanshi,,yes,A Raghuvanshi
5b040b81,A Singh,,yes,A Singh
bd77eb62,A Symonds,,yes,A Symonds
aa5d8c9e,A Tomar,,yes,A Tomar
fdcb08c2,A Uniyal,,yes,A Uniyal
14f96089,A Zampa,,yes,A Zampa
bff458c6,AA Bilakhia,,yes,AA Bilakhia
29d72eb2,AA Chavan,,yes,AA Chavan
2815fe50,AA Jhunjhunwala,,yes,AA Jhunjhunwala
16605a1b,AA Kazi,,yes,AA Kazi
2d140b79,AA Kulkarni,,yes,AA Kulkarni
b69e69ed,AA Noffke,,yes,AA Noffke
fa463154,AB Agarkar,,yes,AB Agarkar
d3a3e82d,AB Barath,,yes,AB Barath
c4487b84,AB de Villiers,,yes,AB de Villiers
66b30f71,AB Dinda,,yes,AB Dinda
16043342,AB McDonald,,yes,AB McDonald
1efb8a28,AC Blizzard,,yes,AC Blizzard
2b6e6dec,AC Gilchrist,,yes,AC Gilchrist
b552a935,AC Thomas,,yes,AC Thomas
864c199e,AC Voges,,yes,AC Voges
92aeac25,AD Hales,,yes,AD Hales
3edb58fc,AD Mascarenhas,,yes,AD Mascarenhas
896d78ad,AD Mathews,,yes,AD Mathews
f10e94c4,AD Nath,,yes,AD Nath
350bb1b1,AF Milne,,yes,AF Milne
ef5da05c,AG Murtaza,,yes,AG Murtaza
3a02626a,AG Paunikar,,yes,AG Paunikar
b8d490fd,AJ Finch,,yes,AJ Finch
4d7f517e,AJ Hosein,,yes,AJ Hosein
ff1e12a0,AJ Turner,,yes,AJ Turner
6a26221c,AK Markram,,yes,AK Markram
8291f939,AL Menaria,,yes,AL Menaria
a45a5e8d,AM Nayar,,yes,AM Nayar
29e95537,AM Rahane,,yes,AM Rahane
260fd380,AM Salvi,,yes,AM Salvi
2af1b6d2,AN Ahmed,,yes,AN Ahmed
7023d182,AN Ghosh,,yes,AN Ghosh
dbc50253,AP Dole,,yes,AP Dole
f4cb4f53,AP Majumdar,,yes,AP Majumdar
855a210c,AP Tare,,yes,AP Tare
afe3355a,AR Bawne,,yes,AR Bawne
2e171977,AR Patel,,yes,AR Patel
b0946605,AS Joseph,,yes,AS Joseph
db31895a,AS Rajpoot,,yes,AS Rajpoot
c69a7b5c,AS Raut,,yes,AS Raut
e4cdf230,AS Roy,,yes,AS Roy
b9be6507,AS Yadav,,yes,AS Yadav
69d03465,AT Carey,,yes,AT Carey
70d205c9,AT Rayudu,,yes,AT Rayudu
249d60c9,AU Rashid,,yes,AU Rashid
3ae3f034,AUK Pathan,,yes,AUK Pathan
af7dadf7,B Akhil,,yes,B Akhil
5451a2c1,B Chipli,,yes,B Chipli
50758325,B Geeves,,yes,B Geeves
ff1e68fa,B Indrajith,,yes,B Indrajith
